"key","message","comment","context"
"Additional Partner/Contacts","Socios/Contactos adicionales",,
"Additional leads","Pistas adicionales",,
"Allow the editing of the targets","Permitir la modificacion de los objetivos",,
"An event will be generated by target, are you sure you want to continue ?","Se generara un evento por objetivo, desea continuar?",,
"Assign to","Asignar a",,
"Assigned to","Asignado a",,
"Attendee","Participante",,
"Attendees","Participantes",,
"Batchs","Lotes",,
"Both","Ambos(as)",,
"Campaign","Campana",,
"Campaign Type","Tipo de campana",,
"Campaign reminders","Recordatorios de campana",,
"Campaign type","Tipo de campana",,
"Campaign types","Tipos de campana",,
"Campaigns","Campanas",,
"Cancel","Cancelar",,
"Cannot generate targets. Please check lead filter of Target Model.","Imposible generar objetivos. Por favor, verifique el filtro de pistas de el modelo objetivo",,
"Cannot generate targets. Please check partner filter of Target Model.","Imposible generar objetivos. Por favor, verifique el filtro de socios de el modelo objetivo",,
"Clear Selection","Vaciar selecci�n",,
"Configuration","Configuracion",,
"Contact","Contacto",,
"Contact/Partner reminder template","Plantilla de recordatorio de contacto/socio",,
"Contact/Partners template","Plantilla de contacto/socio",,
"Days","Dias",,
"Description","Descripcion",,
"Draft","Borrador",,
"Duration","Duracion",,
"Duration type","Tipo de duracion",,
"Email","Email",,
"Email Account","Cuenta de email",,
"Email sending log","Diario de envio de email",,
"Emailing","Campana de email",,
"Emailing report","Reporte de email",,
"Emails sent successfully","Emails enviados exitosamente",,
"End","Finalizar",,
"End date time","Fecha y hora de finalizacion",,
"Ended","Finalizado(a)",,
"Enrolled","Inscritos",,
"Error in sending an email to the following targets","Error al enviar email a los siguientes objetivos",,
"Error in sending emails. Please check the log file generated.","Error al enviar emails. Por favor, verifique el archivo de logs generado",,
"Event Type","Tipo de evento",,
"Event end","Fecha de finalizacion",,
"Event start","Inicio de evento",,
"Event type","Tipo de evento",,
"Events","Eventos",,
"Fiscal position","Posicion fiscal",,
"Generate Events","Generar eventos",,
"Generate Targets","Generar objetivos",,
"Generate event to the team and salesperson in charge of the partner/leads","Generar evento a el equipo y vendedor(a) a cargo de socio(s)/contacto(s)",,
"Generated emails","Emails generados",,
"Guided","Guiado(a)",,
"Hours","Horas",,
"Information","Informacion",,
"Invite all targets","Invitar a todos los objetivos",,
"Invite selected targets","Invitar a los objetivos seleccionados",,
"Invited","Invitados(as)",,
"Launch emailing","Lanzar campana de email",,
"Lead","Pista",,
"Lead Query","Consulta de pistas",,
"Lead filters","Filtros de pistas",,
"Lead reminder template","Plantilla de recordatorio de pista",,
"Leads","Pistas",,
"Leads Target List","Lista de pistas objetivo",,
"Leads template","Plantilla de pistas",,
"Manage an event per target","Administrar un evento por objetivo",,
"Manage attendees","Administrar participantes",,
"Manual","Manual",,
"Marketing","Marketing",,
"Marketing Campaigns","Campanas de marketing",,
"Minutes","Minutos",,
"Name","Nombre",,
"Not participating","No participa",,
"Open filtered leads","Abrir pistas filtradas",,
"Open filtered partners","Abrir socios filtrados",,
"Open planned events","Abrir eventos planificados",,
"Participate","Participar",,
"Partner","Socio",,
"Partner Query","Consulta de socio",,
"Partner filters","Filtros de socios",,
"Partner/Contacts Target List","Lista objetivo de socios/contactos",,
"Partners","Socios",,
"Past events","Eventos pasados",,
"Plan","Planificar",,
"Planned","Planificado(a)",,
"Planned events","Eventos planificados",,
"Please add atleast one invited Partner or Lead.","Por favor, agregue al menos un socio o una pista invitado(a)",,
"Please select at least one template","Por favor, seleccione al menos una plantilla",,
"Please select target","Por favor, seleccione un objetivo",,
"Presence","Presencia",,
"Present at the event","Presente en el evento",,
"Related to","Relacionado a",,
"Related to select","Relacionado a seleccion",,
"Reminded","Recordado",,
"Reminders","Recordatorios",,
"Report","Reporte",,
"Results","Resultados",,
"Select Query type","Tipo de consulta",,
"Select target field","Seleccionar campo objetivo",,
"Select type","Seleccionar tipo",,
"Send a reminder","Enviar un recordatorio",,
"Sequence","Secuencia",,
"Stage","Etapa",,
"Start","Iniciar",,
"Start date time","Fecha y hora de inicio",,
"Started","Iniciado(a)",,
"Subject","Asunto",,
"Suspend","Suspender",,
"Suspended","Suspendido(a)",,
"Target List","Lista de objetivos",,
"Target Model","Modelo objetivo",,
"Target list","Lista de objetivo",,
"Target lists","Listas de objetivos",,
"Targets","Objetivos",,
"Targets to contact","Objetivos a contactar",,
"Team","Equipo",,
"Template","Plantilla",,
"Tools","Herramientas",,
"Type","Tipo",,
"Weeks","Semanas",,
"value:Marketing Management","Marketing",,
"{{record.campaignType.name}}",,,
